image_name,BBox_xmin,BBox_ymin,BBox_xmax,BBox_ymax,Color
1209/BO00058-1.jpg,143,13,633,714,17
2JACKET 2019/ja0967-1.jpg,43,92,439,536,17
2CARDIGON 2019/ca0241-1.jpg,8,20,528,684,16
1209/BO00275-1.jpg,218,306,861,1195,15
2SHIRT 2019/sh1004-1.jpg,241,260,629,880,15
2COAT 2019/co0544-1.jpg,152,191,572,935,4
1209/BO00703-1.jpg,85,184,427,692,0
2JACKET 2019/ja0120_W05.jpg,274,217,676,825,15
2JACKET 2019/ja0710-1.jpg,35,89,451,521,5
2JACKET 2019/ja0949-1.png,184,133,392,482,15
2COAT 2019/co0460.jpg,170,156,476,769,5
2CARDIGON 2019/ca0847-1.jpg,120,94,462,517,11
1209/BO00382-3.jpg,134,307,942,1195,0
2BLOUSE 2019/bl0530_P05.jpg,203,163,479,523,17
2SHIRT 2019/sh0579-1.jpg,70,165,322,529,3
2ONEPIECE 2019/on0425-1.jpg,141,199,545,987,4
2BLOUSE 2019/bl0074-1.jpg,101,161,517,401,15
2JACKET 2019/ja0310-1.jpg,57,32,325,459,17
2ONEPIECE 2019/on0249-1.jpg,135,201,527,1029,13
2Sweater 2019/sw0043-1.jpg,206,151,450,535,11
2pants 2019/475_W01.jpg,175,69,779,1210,17
2ONEPIECE 2019/on0566-1.jpg,189,253,561,990,6
1209/BO00951-1.jpg,58,0,514,544,17
2BLOUSE 2019/bl0132_W01.jpg,114,291,726,1027,13
2SKIRT2019/161-1.jpg,113,88,360,579,5
2VEST 2019/ve0627-2.jpg,233,140,443,591,6
2ONEPIECE 2019/on0246-1.jpg,211,211,495,1019,5
2CARDIGON 2019/ca0104-1.jpg,23,25,305,422,5
2BLOUSE 2019/bl0316_W06.jpg,288,224,648,668,7
2KINT/kn0654-1.jpg,251,169,467,489,13
2JACKET 2019/ja0175-1.jpg,41,128,289,521,15
2JACKET 2019/ja0510-1.jpg,65,9,373,437,17
2SHIRT 2019/sh0620-1.jpg,34,57,282,351,12
2KINT/kn0941-1.jpg,129,223,565,839,12
2JACKET 2019/ja0816-1.jpg,124,28,476,565,17
1209/BO00642-1.jpg,17,10,340,398,15
2BLOUSE 2019/bl0097_W06.jpg,238,212,622,736,10
2KINT/kn0361-1.jpg,54,121,273,377,17
2SKIRT2019/497-01.jpg,236,303,360,446,17
2SKIRT2019/786-1.jpg,18,139,654,911,13
2SKIRT2019/44-1_aug.jpg,107,20,363,372,2
1209/BT00109-1.jpg,365,19,629,799,0
2VEST 2019/ve0060-1.jpg,361,367,542,847,6
1209/BO00227.jpg,192,214,528,698,6
2COAT 2019/co0631.jpg,216,154,541,822,0
2Sweater 2019/sw0160-1.jpg,377,821,1527,2069,17
1209/BO01014-1_aug.jpg,19,0,575,776,1
2ONEPIECE 2019/on0344-1.jpg,248,160,540,1024,3
2Sweater 2019/sw0711-1.jpg,106,175,413,595,6
2ONEPIECE 2019/on0571-1.jpg,139,154,601,1009,13
2KINT/kn0792-1.jpg,133,255,581,855,15
2SHIRT 2019/sh0726-1.jpg,75,102,264,354,0
2ONEPIECE 2019/on0930-1.png,158,158,318,485,15
2JACKET 2019/ja0186-1.jpg,41,130,268,556,5
2Sweater 2019/sw0044-1.jpg,112,219,552,999,6
2CARDIGON 2019/ca0086-1.jpg,19,4,535,592,3
20200112_up/BO01196-1_aug.jpg,171,438,735,1442,8
2VEST 2019/ve0963-1.jpg,179,26,435,574,5
2BLOUSE 2019/bl0674_W05.jpg,261,227,637,691,13
2JACKET 2019/ja0188-1.jpg,64,23,360,571,12
2JUMPER 2019/ju0191-1.jpg,69,237,585,822,12
2VEST 2019/ve0898-1.jpg,276,330,447,590,14
2ONEPIECE 2019/on0927.jpg,446,288,755,1296,17
2SHIRT 2019/sh0124_W01.jpg,303,182,587,562,12
2BLOUSE 2019/bl0649-1.png,18,14,470,425,15
2ONEPIECE 2019/on0746-1.jpg,154,152,335,511,17
2JUMPER 2019/ju0758-1.jpg,6,9,237,280,5
2SKIRT2019/533-01.jpg,252,435,352,585,6
2ONEPIECE 2019/on0772-1.jpg,95,105,283,498,16
2Sweater 2019/sw0289-1.jpg,215,659,1699,2248,17
2BLOUSE 2019/bl0198_W01_aug.jpg,62,307,698,1159,9
2KINT/kn0203-1.jpg,39,136,279,374,3
2JUMPER 2019/ju0312-1.jpg,8,189,676,826,12
2CARDIGON 2019/ca0735-1.jpg,100,51,397,446,5
2ONEPIECE 2019/on0954.jpg,217,227,467,754,12
2JUMPER 2019/ju0831-1.jpg,20,14,218,235,13
2COAT 2019/co0204-2.jpg,65,258,537,1186,3
2JUMPER 2019/ju0361-1.jpg,58,15,401,663,17
2BLOUSE 2019/bl0144_W05.jpg,263,218,711,682,4
2KINT/kn0486-1.jpg,34,15,577,583,5
2COAT 2019/co0613-2.jpg,84,40,529,736,12
2SKIRT2019/12-1.jpg,111,51,357,539,6
2SHIRT 2019/sh0636-1.jpg,44,10,282,314,12
20200112_up/BO01415-1.jpg,112,61,537,564,16
2COAT 2019/co0872-1_aug.jpg,168,147,361,582,9
2JACKET 2019/ja0056_W06.jpg,245,182,645,782,6
2VEST 2019/ve0150-1.jpg,200,128,520,568,15
2JACKET 2019/ja0748-1.jpg,29,29,561,573,13
2Sweater 2019/sw0190-1_aug.jpg,420,661,1532,1929,9
1209/BT00197-1.jpg,315,46,691,1124,16
2SHIRT 2019/sh0041-1.jpg,276,3,604,483,13
2Sweater 2019/sw0408-1.jpg,96,122,401,579,13
2SKIRT2019/85-1.jpg,77,32,385,556,12
2ONEPIECE 2019/on0447-1.jpg,96,219,572,996,16
2pants 2019/528_W01.jpg,281,110,697,1034,7
2SHIRT 2019/sh0251_W05.jpg,319,221,619,653,7
2pants 2019/399_W01.jpg,310,486,634,1138,17
2BLOUSE 2019/bl0672-1.png,24,20,424,548,15
2BLOUSE 2019/bl0431-1.jpg,201,301,737,921,9
2ONEPIECE 2019/on0693-1.png,95,185,521,802,0
20200112_up/BO01248-1.jpg,296,255,728,927,12
2JUMPER 2019/ju1006-1.jpg,165,160,388,440,17
2SHIRT 2019/sh0936-1.jpg,141,81,605,645,0
1209/BO00207-2.jpg,200,323,878,1170,17
2CARDIGON 2019/ca0460-1.jpg,13,12,458,441,6
2BLOUSE 2019/bl0596_W05.jpg,291,252,676,720,13
2pants 2019/222-01.jpg,181,581,633,1365,17
1209/BO00918-1.jpg,77,158,412,626,17
2ONEPIECE 2019/on0349-1.jpg,185,205,505,1013,4
2COAT 2019/co0297-1.jpg,23,112,233,547,4
20200112_up/BO01299-1.jpg,351,350,643,706,10
2BLOUSE 2019/bl0247_W06.jpg,256,227,652,695,16
2SKIRT2019/848-1.jpg,176,125,460,721,2
2SHIRT 2019/sh0635-1.jpg,68,95,255,339,3
2SHIRT 2019/sh0370-1.jpg,118,243,606,863,6
2KINT/kn1004-1_aug.jpg,196,222,553,942,2
2JUMPER 2019/ju0136-1.jpg,36,59,198,335,4
1209/BO00588-1.jpg,116,112,348,492,17
2VEST 2019/ve0344-1.jpg,169,175,519,748,1
2pants 2019/901_W01.jpg,127,92,703,936,6
2BLOUSE 2019/bl0204_W01.jpg,84,354,828,1182,15
2COAT 2019/co0606.jpg,197,130,511,819,11
2SHIRT 2019/sh0944_W01.jpg,73,389,861,1314,3
2COAT 2019/co0086-1.jpg,243,180,548,730,0
1209/BO00178-2.jpg,232,94,848,1398,17
2BLOUSE 2019/bl0327_W01.jpg,168,335,812,1287,9
2SHIRT 2019/sh0086-1.jpg,238,15,554,475,12
2VEST 2019/ve0295-1.jpg,170,73,519,581,3
2JUMPER 2019/ju0603-1.jpg,8,8,264,324,5
20200112_up/BO01253-1.jpg,272,289,704,853,10
2JUMPER 2019/ju0988.jpg,41,84,194,278,7
2KINT/kn0366-1.jpg,59,106,249,389,17
2SHIRT 2019/sh1051-2.jpg,37,152,353,604,3
2KINT/kn0416-1.jpg,76,118,263,381,12
2Sweater 2019/sw0120-1.jpg,16,60,307,337,4
2pants 2019/31-1.jpg,190,378,352,762,15
2Sweater 2019/sw0664-1.jpg,19,96,479,556,7
2VEST 2019/ve0831-1.jpg,103,19,499,583,15
2SHIRT 2019/sh1062-1.jpg,234,131,554,527,17
20200112_up/BO01773-1_aug.jpg,344,288,663,731,1
2COAT 2019/co0188.jpg,191,220,549,945,12
2VEST 2019/ve0849-1.jpg,26,43,582,555,17
2SHIRT 2019/sh0867_W01.jpg,170,371,889,1319,17
1209/BO00755-1.jpg,10,113,637,784,14
2COAT 2019/co0119.jpg,136,149,334,581,16
1209/BO00583-1.jpg,117,141,341,421,17
2Sweater 2019/sw0559-1.jpg,118,32,470,624,5
2Sweater 2019/sw0927.jpg,440,26,1786,1726,3
2SKIRT2019/54-1.jpg,106,14,258,186,3
2Sweater 2019/sw0351-1_aug.jpg,134,115,366,468,2
2JACKET 2019/ja0880-1.jpg,196,275,348,488,17
1209/BO00871-3.jpg,74,131,350,519,11
2SKIRT2019/775-1.jpg,129,57,493,701,14
1209/BO00634-1.jpg,52,24,268,307,1
2COAT 2019/co0385-1.jpg,29,123,313,511,14
2SHIRT 2019/sh0234_W01.jpg,158,333,782,1073,16
2BLOUSE 2019/bl0604-1.jpg,86,102,362,430,16
2JUMPER 2019/ju0845-1.jpg,55,169,631,861,11
2ONEPIECE 2019/on0402-1.jpg,200,165,486,872,16
2BLOUSE 2019/bl0376_W01_aug.jpg,95,343,803,1211,8
2CARDIGON 2019/ca0567-1.jpg,35,5,417,567,17
1209/BO00228.jpg,188,5,476,357,17
2SKIRT2019/266-1.jpg,38,30,126,146,16
2JACKET 2019/ja1012-1.jpg,45,110,431,521,5
2CARDIGON 2019/ca0480-1.jpg,17,4,448,457,16
2SKIRT2019/285-1.jpg,99,45,223,277,17
2CARDIGON 2019/ca0957-1.jpg,18,39,502,775,16
1209/BO00401-1.jpg,196,312,889,1195,3
2VEST 2019/ve0112-1.jpg,200,72,796,880,12
2ONEPIECE 2019/on0716-1.jpg,0,123,304,582,5
2CARDIGON 2019/ca0059-1.jpg,25,16,559,741,3
2Sweater 2019/sw0406-1.jpg,68,107,429,551,16
2COAT 2019/co0111.jpg,240,198,564,840,6
2JUMPER 2019/ju0142-1.jpg,61,93,377,457,4
1209/BO00502-1.jpg,81,102,373,578,15
2KINT/kn0688-1.jpg,215,166,451,514,17
2pants 2019/525_W01.jpg,197,33,701,980,17
2VEST 2019/ve0260-1.jpg,32,14,233,441,16
2SHIRT 2019/sh0937-1.jpg,0,50,488,758,12
2KINT/kn0065.jpg,136,136,424,540,3
2JUMPER 2019/ju0875-1.jpg,24,22,298,356,7
2pants 2019/484_W06.jpg,291,461,551,1205,17
2CARDIGON 2019/ca0785-1.jpg,24,37,276,363,4
2BLOUSE 2019/bl0511-2.jpg,231,214,687,666,17
20200112_up/BO01724-1.jpg,307,259,791,947,16
2pants 2019/358-2.jpg,135,48,367,540,17
2Sweater 2019/sw0515-1.jpg,121,124,377,467,17
2pants 2019/921_W01.jpg,271,84,659,1204,2
2ONEPIECE 2019/on0056-1_aug.jpg,124,166,468,866,8
2ONEPIECE 2019/on0338-1.jpg,138,196,558,1032,3
1209/BO00657-1.jpg,46,144,397,613,8
2pants 2019/450_W01.jpg,129,74,757,1326,6
2JACKET 2019/ja0074_W05.jpg,262,221,591,730,17
2COAT 2019/co0702.jpg,227,174,635,721,17
2VEST 2019/ve0934-1.jpg,176,28,424,576,17
2SHIRT 2019/sh1007-1.jpg,292,218,584,538,10
2VEST 2019/ve0248-1.jpg,39,26,265,586,12
2JACKET 2019/ja0927-1.png,171,108,395,529,10
2SHIRT 2019/sh0969-1.jpg,230,349,714,1149,7
2SHIRT 2019/sh0261_W05.jpg,304,235,638,638,16
2CARDIGON 2019/ca0362_W06.jpg,336,172,624,584,16
2BLOUSE 2019/bl0602-1_aug.png,136,96,304,368,1
2pants 2019/805_W01.jpg,179,59,659,1131,17
2VEST 2019/ve0262-1.jpg,53,3,325,504,5
1209/BO00381-1.jpg,237,309,837,1193,15
2ONEPIECE 2019/on0725-1.jpg,143,191,302,427,16
1209/BO00432-1.jpg,347,260,735,758,15
2CARDIGON 2019/ca0123-1.jpg,53,50,294,363,0
1209/BO00653-1.jpg,164,140,453,570,11
2VEST 2019/ve0202-1.jpg,39,5,280,590,13
2COAT 2019/CT1033-1.jpg,83,49,505,845,14
2JACKET 2019/ja0308-1.jpg,33,32,314,446,15
2BLOUSE 2019/bl0166_W01.jpg,139,322,687,1066,17
2SKIRT2019/547-1.jpg,124,215,304,619,17
2pants 2019/1012_W05.jpg,331,499,583,1135,3
2SKIRT2019/208-1.jpg,152,36,402,301,12
2COAT 2019/co0316-1.jpg,11,8,324,545,16
2BLOUSE 2019/bl0737-1.png,43,48,295,400,15
2SKIRT2019/953-1.jpg,130,103,562,899,17
2VEST 2019/ve0166-1.jpg,105,48,513,712,0
1209/BO00030-1.jpg,37,13,518,828,15
2JACKET 2019/ja0814-1.jpg,27,29,569,571,0
2pants 2019/618_W01.jpg,57,15,233,367,16
2VEST 2019/ve0026-1.jpg,165,146,333,550,16
2Sweater 2019/sw0438-1.jpg,95,116,405,546,17
2COAT 2019/co0429.jpg,125,168,515,1004,14
2ONEPIECE 2019/on0889-1.jpg,155,121,304,408,17
2CARDIGON 2019/ca0946-1.jpg,13,14,434,656,5
20200112_up/BO01347-1.jpg,249,351,717,863,10
2BLOUSE 2019/bl0345_W01.jpg,6,240,778,1320,7
2pants 2019/276-3.jpg,304,496,624,1160,2
2JUMPER 2019/ju0304-1.jpg,16,166,348,790,17
2Sweater 2019/sw1004-1.jpg,93,25,285,333,16
2CARDIGON 2019/ca0861-1.jpg,120,32,365,361,7
1209/BO00793-1.jpg,100,53,684,833,16
1209/BO00683-1_aug.jpg,92,17,396,456,2
1209/BO00615-1.jpg,75,8,209,201,15
2JUMPER 2019/ju0180-1.jpg,149,150,533,975,13
1209/BO01185-1.jpg,144,190,450,772,13
20200112_up/BO01335-1.jpg,182,424,866,1280,16
2SHIRT 2019/sh1078_W01.jpg,99,370,755,1207,15
1209/BO00894-1.jpg,35,189,439,773,17
2SHIRT 2019/sh0935-1.jpg,205,225,541,697,7
2pants 2019/689_W01.jpg,167,97,667,829,17
2VEST 2019/ve0664-1.jpg,200,208,508,980,5
2Sweater 2019/sw0629-1.jpg,97,114,404,546,17
20200112_up/BO01289-1.jpg,353,251,601,703,14
2COAT 2019/co0746-1_aug.jpg,87,129,590,791,9
2Sweater 2019/sw0511-1.jpg,89,114,413,545,6
2ONEPIECE 2019/on0944-1.jpg,165,198,316,441,0
2VEST 2019/ve0095-1.jpg,94,18,1030,1674,4
20200112_up/BO01189-1_aug.jpg,322,320,735,876,1
2SHIRT 2019/sh0991-1.jpg,202,292,426,496,7
2CARDIGON 2019/ca0049-1.jpg,45,29,496,695,17
1209/BO00093-2.jpg,71,51,566,617,17
2VEST 2019/ve1105-1.jpg,89,200,417,656,7
20200112_up/BO01371-1.jpg,229,489,749,1257,15
1209/BO00798-2.jpg,27,25,275,345,14
2CARDIGON 2019/ca0072-1.jpg,34,240,424,722,5
2Sweater 2019/sw0933.jpg,1132,106,2676,1751,16
2SHIRT 2019/sh0606-2.jpg,43,19,383,363,7
2CARDIGON 2019/ca0078-1.jpg,1,43,573,628,17
2pants 2019/768_W06.jpg,246,564,638,1188,7
2COAT 2019/co0628.jpg,197,164,447,754,6
2KINT/kn1029-1.jpg,68,44,374,360,17
2SHIRT 2019/sh0452-1.jpg,132,261,580,873,14
2Sweater 2019/sw0404-1.jpg,95,118,404,563,6
2COAT 2019/co0752-1.jpg,102,33,374,570,12
2KINT/kn1049-1.jpg,120,38,507,602,17
2KINT/kn0798-1.jpg,52,266,564,894,17
20200112_up/BO01378-1.jpg,250,280,698,844,17
1209/BO00501-1.jpg,94,172,399,680,10
2VEST 2019/ve0634-1.jpg,185,58,502,967,17
2CARDIGON 2019/ca0730-1.jpg,85,83,446,520,12
2SKIRT2019/248-1.jpg,113,46,362,490,17
2CARDIGON 2019/ca0244-1.jpg,38,23,670,855,15
1209/BO00423-2.jpg,74,307,1005,1188,15
2KINT/kn0640-2.png,148,147,377,487,16
2SKIRT2019/168-1.jpg,144,131,336,359,15
2BLOUSE 2019/bl0785_W01.jpg,115,344,795,1056,15
2Sweater 2019/sw0450-1.jpg,112,114,389,545,15
2VEST 2019/ve0031-1.jpg,176,304,357,563,5
1209/BO00947-1.jpg,96,22,477,587,17
2KINT/kn0169.jpg,409,201,791,723,3
2VEST 2019/ve0170-1.jpg,157,136,441,580,7
1209/BT00264-1.jpg,368,571,612,1295,13
2Sweater 2019/sw0679-1.jpg,34,114,459,539,6
2BLOUSE 2019/bl0682-1.png,71,48,583,628,12
1209/BO00782-2.jpg,91,159,353,545,17
2JACKET 2019/ja0609-1.jpg,197,186,520,631,15
2COAT 2019/co0478.jpg,111,187,567,955,9
2COAT 2019/co0640.jpg,196,155,506,778,1
2VEST 2019/ve0167-1.jpg,217,180,390,441,17
20200112_up/BO01212-1.jpg,270,288,734,896,4
2KINT/kn0519-1.jpg,83,44,343,456,17
2VEST 2019/ve0040-1.jpg,123,136,233,392,3
1209/BO00063-1.jpg,176,33,636,465,17
